question_file_order,field_name,question_text,question_no,section_no,section
1,UNIV_RecordNum,RECORDNUMBER,,,
2,SURVEY_YEAR,SURVEY_YEAR,,,
3,THESIS,"Is your program research-based, under the supervision of a research director/advisor, or is it more course-based without the same level of supervision?*",,,
4,DEGREE_SELF_REPORT,At which degree level are you currently enrolled?,1,1,Educational Status
5,DISCIPLINE_COMBINED,In what disciplinary area are you pursuing your degree? (Select One),2,1,Educational Status
6,DISCIPLINE_SPECIFIED,DISCIPLINE_SPECIFIED,2,1,Educational Status
7,YEARSTUDY,What is your current year of study?,3,1,Educational Status
8,STATUS,What is your current status in your graduate program?,4,1,Educational Status
9,PRIM_REASON,What was your primary reason for enrolling in your program?,5,1,Educational Status
10,PRIM_REASON_SPECIFIED,Other (please specify): Specify [Question: What was your primary reason for enrolling in your program?],5,1,Educational Status
11,GRADUATE,Do you expect to graduate by the end of the current academic year?,6,1,Educational Status
12,StartOver_Univ,"[Topic: 1. If you were to start your graduate/professional career again, would you select this same university? Question: Please select your response to the following questions.]",7,2,General Satisfaction
13,StartOver_Field,"[Topic: 2. If you were to start your graduate/professional career again, would you select the same field of study?  Question: Please select your response to the following questions.]",7,2,General Satisfaction
14,StartOver_Program,[Topic: 3. Would you recommend this university to someone considering your program? Question: Please select your response to the following questions.],7,2,General Satisfaction
15,StartOver_OtherField,[Topic: 4. Would you recommend this university to someone in another field? Question: Please select your response to the following questions.],7,2,General Satisfaction
16,StartOver_Supervisor,"[Topic: 5. If you were to start your graduate career again, would you select the same faculty supervisor? Question: Please select your response to the following question.]",8,2,General Satisfaction
17,ProgRate_Faculty,[Topic: 1. The intellectual quality of the faculty  Question: Please rate the following dimensions of your program.],9,3,"Satisfaction with Program, Quality of Interactions, and Coursework"
18,ProgRate_Students,[Topic: 2. The intellectual quality of my fellow students  Question: Please rate the following dimensions of your program.],9,3,"Satisfaction with Program, Quality of Interactions, and Coursework"
19,ProgRate_Relation,[Topic: 3. The relationship between faculty and graduate students Question: Please rate the following dimensions of your program.],9,3,"Satisfaction with Program, Quality of Interactions, and Coursework"
20,ProgRate_Teaching,[Topic: 4. Overall quality of graduate level teaching by faculty  Question: Please rate the following dimensions of your program.],9,3,"Satisfaction with Program, Quality of Interactions, and Coursework"
21,ProgRate_FundingAdv,[Topic: 5. Advice on the availability of financial support  Question: Please rate the following dimensions of your program.],9,3,"Satisfaction with Program, Quality of Interactions, and Coursework"
22,ProgRate_Advising,[Topic: 6. Quality of academic advising and guidance  Question: Please rate the following dimensions of your program.],9,3,"Satisfaction with Program, Quality of Interactions, and Coursework"
23,ProgRate_Staff,[Topic: 7. Helpfulness of staff members in my program  Question: Please rate the following dimensions of your program.],9,3,"Satisfaction with Program, Quality of Interactions, and Coursework"
24,ProgRate_CourseAvail,[Topic: 8. Availability of area courses I needed to complete my program  Question: Please rate the following dimensions of your program.],9,3,"Satisfaction with Program, Quality of Interactions, and Coursework"
